time,temperature,supersaturation,growth rate,nucleation rate,transform time,concentration,"$\mu_{s,0}$","$\mu_{s,1}$","$\mu_{s,2}$","$\mu_{s,3}$","$\mu_{s,4}$","$\mu_{n,0}$","$\mu_{n,1}$","$\mu_{n,2}$","$\mu_{n,3}$","$\mu_{n,4}$",PDF for size=0
min,$^oC$,-,$\mu m/min$,$1/(\mu m^3*min)$,\mu m,g/L,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^3$,$1/\mu m^2$,$1/\mu m$,-,$\mu m$,$1/\mu m^4$
40.0,30.0,0.003038551291238,3.3125747351041297,1.3804570725001488e-11,1048.068618038868,461.28739935332743,4.710811560361758e-13,5.408721742477336e-10,6.210123740676963e-07,0.0007130380490106934,0.8187138818023659,9.48304641105854e-10,1.4982506939249987e-07,3.955812884627193e-05,0.014312554663041962,6.4847916915124415,4.167323556118213e-12
41.0,29.95,0.0029757662589775754,3.222524638745471,1.3653832477346258e-11,1051.3361677257928,460.446245411765,4.710811560361758e-13,5.4241122496239e-10,6.245515266497143e-07,0.0007191420400352597,0.8280718824958878,9.620329847022524e-10,1.5294560187774219e-07,4.05472745763332e-05,0.014705101829156004,6.674386022546848,4.236998629329858e-12
42.0,29.9,0.0029164331521318813,3.1379822693187367,1.3512453785377232e-11,1054.5164211798249,459.60763808994903,4.710811560361758e-13,5.43909179523785e-10,6.280058329079589e-07,0.0007251163978446669,0.8372568188495182,9.756154187213548e-10,1.5602623271835363e-07,4.1529727279379896e-05,0.015096571699695424,6.863904151970162,4.306096282790921e-12
43.0,29.85,0.0028601809173535793,3.0583362814311426,1.3378973554032826e-11,1057.6145804551998,458.7713991136253,4.710811560361758e-13,5.453684820026401e-10,6.313801677901433e-07,0.0007309683286381933,0.8462780261090869,9.890605208844014e-10,1.590692378679432e-07,4.25057999643784e-05,0.015487041558628765,7.053376957589967,4.3745920405365495e-12
44.0,29.8,0.002806717061055518,2.9831013467779854,1.3252372955692424e-11,1060.6352992693044,457.9373872993107,4.710811560361758e-13,5.467913209293116e-10,6.346788933938603e-07,0.0007367042704095521,0.8551438215324112,1.0023756549133803e-09,1.6207662224053653e-07,4.34757586883137e-05,0.015876571879565753,7.242827474137818,4.442481637442913e-12
45.0,29.75,0.0027558004141571444,2.9118758538909044,1.3131894023261415e-11,1063.5827878696389,457.1054858191669,4.710811560361758e-13,5.481796768921169e-10,6.379059584105104e-07,0.0007423300490940533,0.8638617229218367,1.0155673046004152e-09,1.6505018343175807e-07,4.443983771703977e-05,0.016265212205214815,7.4322736684441475,4.509771254744369e-12
46.0,29.7,0.002707225166258405,2.844316955651245,1.3016936673263214e-11,1066.4608842744099,456.27559472660784,4.710811560361758e-13,5.495353548118947e-10,6.410649645351106e-07,0.0007478509811706367,0.8724385898009468,1.0286412778943683e-09,1.679915520209785e-07,4.539824836433566e-05,0.01665300458714727,7.62173006334249,4.576471917941652e-12
47.0,29.65,0.002660811322625496,2.7801254670083173,1.2907000415579276e-11,1069.2731054857397,455.4476264771487,4.710811560361758e-13,5.508600115313982e-10,6.441592218612476e-07,0.0007532719568392608,0.8808807341654441,1.041602845996184e-09,1.7090222156225842e-07,4.635118438110342e-05,0.01703998562544034,7.81120869384251,4.642596375144339e-12
48.0,29.6,0.0026164003286795077,2.719038443462195,1.2801664209353622e-11,1072.022687440975,454.6215038388653,4.710811560361758e-13,5.521551700496906e-10,6.471917771633183e-07,0.0007585974820218345,0.8891939757641676,1.0544568108351873e-09,1.7378356337080134e-07,4.729882438830792e-05,0.017426187416979745,8.000719550766942,4.70815859192232e-12
49.0,29.55,0.0025738500546161804,2.660821191010454,1.2700557556452194e-11,1074.7126172582114,453.797157534642,4.710811560361758e-13,5.534222363116387e-10,6.501654472889915e-07,0.0007638317279508552,0.8973837072867984,1.0672075824860209e-09,1.7663684388081612e-07,4.824133470478175e-05,0.01781163862328924,8.190271083886499,4.773172131731679e-12
50.0,29.5,0.00253303263265544,2.6052634485647728,1.2603353158253326e-11,1077.345659577999,452.9745251977385,4.710811560361758e-13,5.546625117641823e-10,6.530828436283357e-07,0.0007689785665918417,0.905454939462121,1.079859224192422e-09,1.7946323594734113e-07,4.917887065383088e-05,0.01819636493010016,8.37987041304478,4.8376501674701856e-12
51.0,29.45,0.002493832621699581,2.5521761664140956,1.2509760687727024e-11,1079.9243793854885,452.1535504856362,4.710811560361758e-13,5.558772040555251e-10,6.55946392983711e-07,0.0007740416008793879,0.9134123395770317,1.0924154906483649e-09,1.8226382850165056e-07,5.011157768829899e-05,0.018580389437093312,8.569523508036006,4.90160548176567e-12
52.0,29.4,0.00245614531633198,2.5013886049439784,1.2419520361714548e-11,1082.4511617711676,451.3341822678692,4.710811560361758e-13,5.570674360312942e-10,6.587583551686142e-07,0.000779024190304674,0.9212602642190203,1.1048798613381495e-09,1.8503963483951986e-07,5.103959241528893e-05,0.018963733017225846,8.75923535641178,4.965050347302073e-12
53.0,29.35,0.0024198753912798,2.45274599120929,1.233239820820168e-11,1084.9282290692443,450.5163739728959,4.710811560361758e-13,5.58234253876826e-10,6.615208389048828e-07,0.000783929473957498,0.9290027886263498,1.1172555692780997e-09,1.8779159996618064e-07,5.196304344989257e-05,0.01934641460322862,8.949010096841437,5.02799647921201e-12
54.0,29.3,0.0023849358787066074,2.406107705457849,1.2248183271462474e-11,1087.3576559175779,449.7000830909209,4.710811560361758e-13,5.593786344935787e-10,6.642358161914077e-07,0.000788760391275126,0.9366437329672199,1.129545625434243e-09,1.9052060706911883e-07,5.288205210518361e-05,0.01972845140248685,9.138851117962039,5.090455112911005e-12
55.0,29.25,0.0023512471588245415,2.3613455523914464,1.216668409678628e-11,1089.7413825465026,448.8852706877002,4.710811560361758e-13,5.605014915246048e-10,6.669051340915821e-07,0.0007935196991584285,0.9441866841777868,1.1417528400461535e-09,1.9322748299205686e-07,5.3796733042429706e-05,0.02010985911034794,9.328761158544113,5.152436958862079e-12
56.0,29.2,0.002318736221181293,2.318342450608151,1.2087726919066298e-11,1092.0812265480024,448.07190104428105,4.710811560361758e-13,5.616036806366734e-10,6.695305250311526e-07,0.0007982099868541476,0.9516350148263256,1.153879840178093e-09,1.959130028931835e-07,5.47071947744452e-05,0.020490652065978818,9.518742380148282,5.213952285563087e-12
57.0,29.15,0.0022873359299871217,2.2769911739354844,1.201115328164157e-11,1094.3788933602743,447.2599413021686,4.710811560361758e-13,5.626860049022791e-10,6.721136173209241e-07,0.0008028336911991195,0.9589919024712843,1.1659290874440227e-09,1.9857789500736086e-07,5.561354019143025e-05,0.02087084340528902,9.708796437857755,5.2750109087519415e-12
58.0,29.1,0.002256984401923639,2.2371932826587386,1.1936818138059785e-11,1096.6359855885714,446.4493611621874,4.710811560361758e-13,5.637492190137459e-10,6.746559434043761e-07,0.0008073931085870301,0.9662603448928537,1.177902892272402e-09,2.012228444240782e-07,5.651586699378367e-05,0.02125044519168369,9.898924541710867,5.3356221970565544e-12
59.0,29.05,0.002227624593203244,2.1988583630673135,1.1864589435231313e-11,1098.8540114114344,445.6401326794274,4.710811560361758e-13,5.647940330252264e-10,6.771589471492653e-07,0.0008118904054834703,0.9734431733627905,1.1898034255089612e-09,2.0384849630910362e-07,5.741426801422988e-05,0.021629468502730398,10.08912749660564,5.395795215604846e-12
60.0,29.0,0.002199203667437152,2.161903008811885,1.1794345266111846e-11,1101.034392097374,444.8322299629343,4.710811560361758e-13,5.658211163918849e-10,6.796239918001419e-07,0.0008163276300326832,0.9805430675036608,1.2016327323439925e-09,2.064554595979179e-07,5.830883167288088e-05,0.022007923560879317,10.279405763443867,5.455538577835484e-12
61.0,28.95,0.002171672710465615,2.1262502818363678,1.1725973894080974e-11,1103.178468742698,444.0256290321959,4.710811560361758e-13,5.668311004405789e-10,6.820523647891705e-07,0.0008207067189919986,0.9875625640405107,1.2133927400925926e-09,2.0904430913608546e-07,5.9199642193207405e-05,0.022385819794544827,10.469759488201035,5.514860594846653e-12
